country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Europe,1981,,697116693,,168.386,0.242,7467.951,-281.592,-3.634,7675.92,-319.807,-4,11.015,0.693,0.406,10.717,0.674,0.395,3029.131,4.347,,,,3998.542,277137.906,403727,197855.328,395.065,14054.934,138520.562,60834.055,,47406.551,,29.462,0.042,1181.031,1.695,,,207.932,0.298,,,,,3059.941,4.391,,,33047.898,41.809,39.23,32.764,43.243,48.586,44.62,34.779,54.374,6.143,27.99,25.45,31.81,,12.423,42.265,4.735,35.788,,,,,
Europe,1982,,699916913,,163.907,0.234,7408.063,-59.888,-0.802,7595.733,-80.187,-1.045,10.857,0.679,0.411,10.588,0.662,0.401,3039.322,4.344,,,,4162.449,284545.969,411322.75,200894.641,422.718,15250.726,138708.188,63815.441,,47142.945,,27.653,0.04,1195.792,1.709,,,187.633,0.268,,,,,2981.388,4.261,,,32996.145,40.881,39.228,32.609,42.648,48.228,44.461,34.737,54.149,6.341,28.805,25.28,31.973,,11.739,43.782,4.256,35.726,,,,,
Europe,1983,,702722575,,163.902,0.233,7414.517,6.454,0.087,7603.653,7.92,0.104,10.825,0.666,0.409,10.555,0.65,0.399,3043.866,4.333,,,,4326.351,291960.5,418926.406,203938.516,448.823,16512.045,138897.297,66734.766,,47619.566,,26.105,0.037,1261.32,1.796,,,189.099,0.269,,,,,2919.324,4.156,,,33463.344,39.988,39.01,31.933,41.616,47.855,44.303,34.681,53.907,6.524,29.642,25.095,32.107,,12.265,45.691,3.936,35.339,,,,,
Europe,1984,,705518653,,158.307,0.224,7465.512,50.995,0.688,7660.767,57.114,0.751,10.863,0.657,0.402,10.586,0.64,0.391,3040.977,4.312,,,,4484.658,299426.031,426587.156,206979.5,474.117,17845.77,139092.516,69641.977,,48895.645,,25.294,0.036,1333.725,1.891,,,195.218,0.277,,,,,2907.209,4.122,,,34496.789,37.899,37.964,30.679,39.654,47.415,44.12,34.6,53.624,6.71,30.394,24.891,32.215,,13.544,44.304,3.679,34.905,,,,,
Europe,1985,,708248300,,152.546,0.215,7789.581,324.069,4.341,7986.264,325.497,4.249,11.281,0.668,0.244,11.003,0.652,0.238,3301.903,4.664,,,,4637.204,307215.594,434573.406,210281.391,499.242,19268.646,139289.172,72529.102,,47168.816,,25.125,0.035,1422.877,2.01,,,196.647,0.278,,,,,2887.129,4.078,,,33407.234,36.082,38.324,31.435,40.18,46.93,43.951,34.536,53.343,6.888,31.16,24.702,32.306,,13.847,45.585,3.871,34.673,,,,,
Europe,1986,,711128857,,154.973,0.218,7802.543,12.963,0.166,8016.851,30.587,0.383,11.278,0.653,0.241,10.976,0.635,0.234,3315.582,4.664,,,,4792.177,315018.156,442590.25,213596.984,521.264,20640.963,139503.438,75466.75,,47807,,22.022,0.031,1372.316,1.931,,,214.271,0.301,,,,,2937.65,4.133,,,33996.938,35.193,37.826,31.141,39.775,46.429,43.776,34.468,53.062,7.028,31.813,24.518,32.378,,12.98,45.06,4.188,34.253,,,,,
Europe,1987,,714220717,,155.181,0.217,7824.348,21.804,0.279,8038.911,22.06,0.275,11.26,0.64,0.236,10.959,0.623,0.23,3330.739,4.665,,,,4947.358,322842.5,450629.188,216927.719,543.412,22155.307,139718.031,78268.688,,48668.363,,22.148,0.031,1514.343,2.121,,,214.6,0.301,,,,,2801.936,3.925,,,34759.953,33.794,36.779,30.466,38.651,45.891,43.575,34.388,52.76,7.169,32.492,24.337,32.378,,13.587,45.816,4.197,32.375,,,,,
Europe,1988,,717211203,,159.485,0.222,7863.65,39.303,0.502,8050.734,11.823,0.147,11.23,0.621,0.234,10.969,0.606,0.228,3292.26,4.592,,,,5106.842,330706.125,458679.906,220219.984,579.1,23736.059,139905.125,81064.156,,49028.762,,35.688,0.05,1580.751,2.205,,,187.084,0.261,,,,,2795.466,3.899,,,35163.977,32.978,35.57,29.635,36.947,45.337,43.343,34.291,52.425,7.457,33.126,24.156,32.334,,19.238,45.607,3.698,31.155,,,,,
Europe,1989,,719885860,,161.609,0.225,7829.319,-34.331,-0.437,8011.053,-39.681,-0.493,11.133,0.601,0.233,10.88,0.588,0.228,3210.738,4.462,,,,5268.452,338535.438,466690.969,223430.719,613.609,25367.816,140086.859,83854.859,,48748.637,,34.509,0.048,1631.758,2.268,,,181.734,0.253,,,,,2790.705,3.878,,,35093.453,32.748,34.936,29.367,36.037,44.808,43.103,34.193,52.084,7.751,33.692,23.986,32.272,,22.903,44.831,3.733,30.566,,,,,
Europe,1990,,722288309,,153.847,0.213,8033.274,203.955,2.605,8181.357,170.305,2.126,11.332,0.616,0.236,11.126,0.605,0.232,2996.171,4.15,7759.2,10.747,0.584,5422.299,346568.719,474872.312,226426.875,682.551,27115.826,140235.125,86817.047,104.114,48651.582,,68.942,0.095,1748.011,2.421,12.842,11.811,148.282,0.205,1467.02,2.031,571.62,0.791,2962.189,4.103,0.144,104.114,35140.469,31.152,35.299,29.605,34.484,44.258,42.883,34.102,51.735,8.34,34.269,23.813,32.263,5.622,25.738,45.603,3.04,32.026,46.353,8531.27,9275.39,-274.074,-3.412
Europe,1991,,724402333,,142.813,0.197,7736.558,-296.716,-3.694,7837.515,-343.843,-4.203,10.824,0.59,0.229,10.684,0.582,0.226,2791.496,3.855,7653.771,10.57,0.576,5565.112,354305.281,482709.844,229218.391,748.688,28861.592,140336.297,89714.25,197.256,47878.77,,66.137,0.091,1745.765,2.411,12.563,11.536,101.163,0.14,1424.99,1.967,546.05,0.754,2897.205,4.001,0.129,93.142,34683.492,28.127,33.283,27.989,32.444,43.616,42.615,33.981,51.363,8.842,34.758,23.639,32.177,9.535,23.373,44.652,2.127,29.796,42.933,8356.71,9100.85,-82.787,-1.07
Europe,1992,,726070329,,132.76,0.183,7095.027,-641.531,-8.292,7066.827,-770.688,-9.833,9.737,0.538,0.213,9.776,0.54,0.214,2519.278,3.471,6654.204,9.168,0.507,5697.872,361400.312,489776.688,231737.656,808.223,30587.143,140308.297,92286.797,282.622,46011.051,,59.536,0.082,1725.549,2.378,11.937,10.912,-27.993,-0.039,1365.12,1.88,511.12,0.704,2572.539,3.545,0.118,85.366,33407.258,25.099,31.422,25.725,29.995,42.879,42.319,33.825,50.968,9.271,35.16,23.441,32.04,12.363,23.768,43.595,-0.572,27.883,39.279,7922.74,8666.939,-440.823,-6.213
